mes_ref;dt_vcto;id_client;id_uc;grandezas;leitura_anterior;leitura_atual;const_medidor;consumo_kwh;qtd_enrg_tusd;prc_unit_tributos_tusd;tusd;pis_cofins_tusd;aliq_icms_tusd;icms_tusd;tarifa_unit_tusd;qtd_enrg_te;prc_unit_tributos_te;te;pis_cofins_te;aliq_icms_te;icms_te;tarifa_unit_te;qtd_enrg_compensada_tusd;prc_unit_tributos_compensada_tusd;compensada_tusd;pis_cofins_compensada_tusd;aliq_icms_compensada_tusd;icms_compensada_tusd;tarifa_unit_compensada_tusd;qtd_enrg_compensada_te;prc_unit_tributos_compensada_te;compensada_te;pis_cofins_compensada_te;aliq_icms_compensada_te;icms_compensada_te;tarifa_unit_compensada_te;multa;juros_mora;tx_2_emss_fat;dmic;pc_art113_ren414;cosip_cip;atualz_monetaria;rev_fat_atualiz;ren_1000;art_323;devol_pgto_fat_cancel;sem_corresp_saldo;cred_solu_rclm;cred_prox_fat;total;pis_cofins_total;icms_total;tipo
09/2022;2022-09-19;1;1;ENRG ATV;494,0;1760,0;1,0;1266,0;1266,0;0,51192;648,09;30,07;0,18;116,65;0,39603;1266,0;0,33668;426,24;19,78;0,18;76,72;0,26046;;;;;;;;;;;;;;;2,66;0,21;;;;82,04;;;;;;0,0;;;1159,24;49,85;193,37;valida
10/2022;2022-10-25;1;1;ENRG ATV;1760,0;3026,0;1,0;1266,0;1266,0;0,51051;646,31;28,61;0,18;116,33;0,39603;1266,0;0,33575;425,06;18,81;0,18;76,51;0,26046;;;;;;;;;;;;;;;21,48;5,64;;;;82,04;;;;;;0,0;;;1180,53;47,42;192,84;valida
11/2022;2022-12-19;1;1;ENRG ATV;3026,0;3026,0;1,0;0,0;30,0;0,50767;15,23;0,61;0,18;2,74;0,39603;30,0;0,33367;10,01;0,4;0,18;1,8;0,26046;;;;;;;;;;;;;;;21,42;3,51;;;;2,0;;;;;;-117,05;;64,88;0,0;1,01;4,54;valida
11/2022;2022-11-18;2;2;ENRG ATV;82631,0;90116,0;1,0;7485,0;7485,0;0,50817;3803,62;154,69;0,18;684,65;0,39603;7485,0;0,33421;2501,54;101,73;0,18;450,27;0,26046;;;;;;;;;;;;;;;;;;;;457,84;;;;;;0,0;;;6763,0;256,42;1134,92;valida
11/2022;2022-11-18;3;3;ENRG ATV;40564300,0;41205300,0;0,016;10256,0;10256,0;0,50817;5211,75;211,96;0,18;938,11;0,39603;10256,0;0,33421;3427,64;139,4;0,18;616,97;0,26046;;;;;;;;;;;;;;;;;;;;659,29;;;;;;0,0;;;9298,68;351,36;1555,08;valida
11/2022;2022-11-18;4;4;ENRG ATV;5661,0;18116,0;1,0;12455,0;12455,0;0,50817;6329,23;257,42;0,18;1139,26;0,39603;12455,0;0,33421;4162,57;169,29;0,18;749,26;0,26046;;;;;;;;;;;;;;;;;;;;659,29;;;;;;0,0;;;11151,09;426,71;1888,52;valida
12/2022;2022-12-19;4;4;ENRG ATV;18116,0;29425,0;1,0;11309,0;11309,0;0,50978;5765,06;248,65;0,18;1037,71;0,39603;11309,0;0,33527;3791,54;163,53;0,18;682,47;0,26046;;;;;;;;;;;;;;;209,83;34,48;;;;659,29;;;;;;0,0;;;10460,2;412,18;1720,18;valida
12/2022;2023-01-12;4;5;ENRG ATV INJ;6134,0;6296,0;40,0;6480,0;100,0;0,5096;50,96;2,19;0,18;9,17;0,39603;100,0;0,335;33,5;1,43;0,18;6,03;0,26046;;;;;;;;;;;;;;;;;;;;5,88;;;;;;0,0;;;90,34;3,62;15,2;valida
12/2022;2022-12-26;1;1;nan;;;;;8457,9;0,50978;4311,63;185,96;0,18;776,09;0,39603;8457,9;0,33527;2835,65;122,3;0,18;510,41;0,26046;;;;;;;;;;;;;;;;;;;;949,38;;;;0,0;;0,0;;;8096,66;881,45;3678,63;valida
12/2022;2023-01-04;2;6;ENRG ATV;8876,0;14109,0;1,0;5233,0;5233,0;0,50977;2667,64;115,05;0,18;480,17;0,39603;5233,0;0,33526;1754,43;75,66;0,18;315,79;0,26046;;;;;;;;;;;;;;;;;;;;381,54;;;;;;0,0;;;4803,61;190,71;795,96;valida
